batch_id,product_sk_id,warehouse_id,grn_date,mfg_date,expiry_date,quantity_on_hand,quantity_reserved,unit_cost_bdt
BAT-1038,7,2,2023-10-04,2023-09-04,2026-09-03,25,1,445.5
BAT-1039,7,5,2023-09-02,2023-08-03,2026-08-02,25,1,445.5
BAT-1040,7,4,2023-08-02,2023-07-03,2026-07-02,25,1,445.5
BAT-1041,7,1,2023-07-03,2023-06-03,2026-06-02,25,1,445.5
BAT-1042,8,2,2023-12-01,2023-11-01,2024-10-31,27,1,151.5
BAT-1043,8,5,2023-11-03,2023-10-04,2024-10-03,27,1,151.5
BAT-1044,8,1,2023-10-02,2023-09-02,2024-09-01,27,1,151.5
BAT-1045,8,4,2023-08-31,2023-08-01,2024-07-31,27,1,151.5
BAT-1046,8,4,2023-08-01,2023-07-02,2024-07-01,27,1,151.5
BAT-1047,8,3,2023-07-03,2023-06-03,2024-06-02,27,1,151.5
BAT-1048,9,5,2023-12-03,2023-11-03,2025-05-01,42,2,619.5
BAT-1049,9,5,2023-11-03,2023-10-04,2025-04-01,42,2,619.5
BAT-1050,9,1,2023-10-02,2023-09-02,2025-02-28,42,2,619.5
BAT-1051,9,1,2023-09-03,2023-08-04,2025-01-30,42,2,619.5
BAT-1052,9,3,2023-08-05,2023-07-06,2025-01-01,42,2,619.5
BAT-1053,9,1,2023-07-03,2023-06-03,2024-11-29,42,2,619.5
BAT-1054,10,2,2023-12-01,2023-11-01,2026-10-31,54,2,1021.5
BAT-1055,10,1,2023-11-02,2023-10-03,2026-10-02,54,2,1021.5
BAT-1056,10,3,2023-10-01,2023-09-01,2026-08-31,54,2,1021.5
BAT-1057,10,1,2023-09-04,2023-08-05,2026-08-04,54,2,1021.5
BAT-1058,10,2,2023-08-01,2023-07-02,2026-07-01,54,2,1021.5
BAT-1059,10,4,2023-07-02,2023-06-02,2026-06-01,54,2,1021.5
BAT-1060,11,2,2023-12-01,2023-11-01,2025-04-29,57,2,792.0
BAT-1061,11,4,2023-10-30,2023-09-30,2025-03-28,57,2,792.0
BAT-1062,11,4,2023-10-03,2023-09-03,2025-03-01,57,2,792.0
BAT-1063,11,4,2023-09-03,2023-08-04,2025-01-30,57,2,792.0
BAT-1064,11,1,2023-08-05,2023-07-06,2025-01-01,57,2,792.0
BAT-1065,11,2,2023-07-02,2023-06-02,2024-11-28,57,2,792.0
BAT-1066,12,2,2023-11-29,2023-10-30,2025-10-29,32,1,315.75
BAT-1067,12,1,2023-10-31,2023-10-01,2025-09-30,32,1,315.75
BAT-1068,12,1,2023-10-04,2023-09-04,2025-09-03,32,1,315.75
BAT-1069,12,3,2023-09-04,2023-08-05,2025-08-04,32,1,315.75
BAT-1070,12,5,2023-08-01,2023-07-02,2025-07-01,32,1,315.75
BAT-1071,12,4,2023-07-06,2023-06-06,2025-06-05,32,1,315.75
BAT-1072,13,5,2023-11-30,2023-10-31,2024-04-28,25,1,137.25
BAT-1073,13,2,2023-11-01,2023-10-02,2024-03-30,25,1,137.25
BAT-1074,13,1,2023-09-30,2023-08-31,2024-02-27,25,1,137.25
BAT-1075,13,2,2023-09-02,2023-08-03,2024-01-30,25,1,137.25
BAT-1076,13,4,2023-08-03,2023-07-04,2023-12-31,25,1,137.25
BAT-1077,13,2,2023-07-03,2023-06-03,2023-11-30,25,1,137.25
BAT-1078,14,2,2023-12-03,2023-11-03,2024-11-02,40,2,735.0
BAT-1079,14,1,2023-10-31,2023-10-01,2024-09-30,40,2,735.0
BAT-1080,14,3,2023-09-30,2023-08-31,2024-08-30,40,2,735.0
BAT-1081,14,3,2023-09-03,2023-08-04,2024-08-03,40,2,735.0
BAT-1082,14,3,2023-08-01,2023-07-02,2024-07-01,40,2,735.0
BAT-1083,14,3,2023-07-05,2023-06-05,2024-06-04,40,2,735.0
BAT-1084,15,4,2023-12-03,2023-11-03,2026-11-02,33,1,696.75
BAT-1085,15,2,2023-10-31,2023-10-01,2026-09-30,33,1,696.75
BAT-1086,15,2,2023-10-04,2023-09-04,2026-09-03,33,1,696.75
BAT-1087,15,5,2023-09-02,2023-08-03,2026-08-02,33,1,696.75
BAT-1088,15,3,2023-08-03,2023-07-04,2026-07-03,33,1,696.75
BAT-1089,15,2,2023-07-04,2023-06-04,2026-06-03,33,1,696.75
BAT-1090,16,5,2023-11-30,2023-10-31,2026-10-30,33,1,324.75
BAT-1091,16,5,2023-10-30,2023-09-30,2026-09-29,33,1,324.75
BAT-1092,16,5,2023-09-30,2023-08-31,2026-08-30,33,1,324.75
BAT-1093,16,5,2023-09-01,2023-08-02,2026-08-01,33,1,324.75
BAT-1094,16,3,2023-08-02,2023-07-03,2026-07-02,33,1,324.75
BAT-1095,16,4,2023-07-06,2023-06-06,2026-06-05,33,1,324.75
BAT-1096,17,5,2023-12-02,2023-11-02,2024-11-01,62,3,497.25
BAT-1097,17,1,2023-11-02,2023-10-03,2024-10-02,62,3,497.25
BAT-1098,17,2,2023-09-30,2023-08-31,2024-08-30,62,3,497.25
BAT-1099,17,3,2023-09-01,2023-08-02,2024-08-01,62,3,497.25
BAT-1100,17,2,2023-08-01,2023-07-02,2024-07-01,62,3,497.25
BAT-1101,17,1,2023-07-04,2023-06-04,2024-06-03,62,3,497.25
BAT-1102,18,4,2023-11-30,2023-10-31,2024-10-30,63,3,1211.25
BAT-1103,18,4,2023-11-01,2023-10-02,2024-10-01,63,3,1211.25
BAT-1104,18,3,2023-10-04,2023-09-04,2024-09-03,63,3,1211.25
BAT-1105,18,1,2023-08-31,2023-08-01,2024-07-31,63,3,1211.25
BAT-1106,18,2,2023-08-03,2023-07-04,2024-07-03,63,3,1211.25
BAT-1107,18,3,2023-07-04,2023-06-04,2024-06-03,63,3,1211.25
BAT-1108,19,2,2023-12-02,2023-11-02,2024-11-01,9,0,171.75
BAT-1109,19,2,2023-11-03,2023-10-04,2024-10-03,9,0,171.75
BAT-1110,19,3,2023-10-03,2023-09-03,2024-09-02,9,0,171.75
BAT-1111,19,3,2023-08-31,2023-08-01,2024-07-31,9,0,171.75
BAT-1112,19,5,2023-08-04,2023-07-05,2024-07-04,9,0,171.75
BAT-1113,19,1,2023-07-02,2023-06-02,2024-06-01,9,0,171.75
BAT-1114,20,4,2023-12-02,2023-11-02,2025-04-30,33,1,478.5
BAT-1115,20,5,2023-11-01,2023-10-02,2025-03-30,33,1,478.5
BAT-1116,20,2,2023-09-30,2023-08-31,2025-02-26,33,1,478.5
BAT-1117,20,1,2023-09-04,2023-08-05,2025-01-31,33,1,478.5
BAT-1118,20,1,2023-08-03,2023-07-04,2024-12-30,33,1,478.5
BAT-1119,20,5,2023-07-03,2023-06-03,2024-11-29,33,1,478.5
BAT-1120,21,3,2023-11-29,2023-10-30,2025-10-29,9,0,148.5
BAT-1121,21,3,2023-11-02,2023-10-03,2025-10-02,9,0,148.5
BAT-1122,21,4,2023-10-04,2023-09-04,2025-09-03,9,0,148.5
BAT-1123,21,4,2023-09-03,2023-08-04,2025-08-03,9,0,148.5
BAT-1124,21,4,2023-08-04,2023-07-05,2025-07-04,9,0,148.5
BAT-1125,21,1,2023-07-02,2023-06-02,2025-06-01,9,0,148.5
BAT-1126,22,3,2023-11-30,2023-10-31,2024-04-28,26,1,261.75
BAT-1127,22,3,2023-11-03,2023-10-04,2024-04-01,26,1,261.75
BAT-1128,22,3,2023-10-03,2023-09-03,2024-03-01,26,1,261.75
BAT-1129,22,4,2023-09-02,2023-08-03,2024-01-30,26,1,261.75
BAT-1130,22,2,2023-08-02,2023-07-03,2023-12-30,26,1,261.75
BAT-1131,22,1,2023-07-02,2023-06-02,2023-11-29,26,1,261.75
BAT-1132,23,3,2023-11-30,2023-10-31,2025-10-30,24,1,492.0
BAT-1133,23,1,2023-10-30,2023-09-30,2025-09-29,24,1,492.0
BAT-1134,23,4,2023-09-30,2023-08-31,2025-08-30,24,1,492.0
BAT-1135,23,4,2023-09-04,2023-08-05,2025-08-04,24,1,492.0
BAT-1136,23,1,2023-08-04,2023-07-05,2025-07-04,24,1,492.0
BAT-1137,23,2,2023-07-02,2023-06-02,2025-06-01,24,1,492.0
BAT-1138,24,2,2023-11-30,2023-10-31,2024-10-30,21,1,197.25
BAT-1139,24,4,2023-10-30,2023-09-30,2024-09-29,21,1,197.25
BAT-1140,24,3,2023-10-03,2023-09-03,2024-09-02,21,1,197.25
BAT-1141,24,3,2023-08-31,2023-08-01,2024-07-31,21,1,197.25
BAT-1142,24,2,2023-08-04,2023-07-05,2024-07-04,21,1,197.25
BAT-1143,24,4,2023-07-06,2023-06-06,2024-06-05,21,1,197.25
BAT-1144,25,5,2023-12-01,2023-11-01,2024-04-29,19,0,206.25
BAT-1145,25,5,2023-11-02,2023-10-03,2024-03-31,19,0,206.25
BAT-1146,25,3,2023-09-30,2023-08-31,2024-02-27,19,0,206.25
BAT-1147,25,3,2023-09-01,2023-08-02,2024-01-29,19,0,206.25
BAT-1148,25,5,2023-08-02,2023-07-03,2023-12-30,19,0,206.25
BAT-1149,25,2,2023-07-05,2023-06-05,2023-12-02,19,0,206.25
BAT-1150,26,5,2023-12-03,2023-11-03,2024-11-02,30,1,480.0
BAT-1151,26,1,2023-11-02,2023-10-03,2024-10-02,30,1,480.0
BAT-1152,26,3,2023-10-03,2023-09-03,2024-09-02,30,1,480.0
BAT-1153,26,3,2023-09-03,2023-08-04,2024-08-03,30,1,480.0
BAT-1154,26,5,2023-08-02,2023-07-03,2024-07-02,30,1,480.0
BAT-1155,26,1,2023-07-04,2023-06-04,2024-06-03,30,1,480.0
BAT-1156,27,5,2023-12-03,2023-11-03,2025-11-02,62,3,1857.0
BAT-1157,27,2,2023-11-01,2023-10-02,2025-10-01,62,3,1857.0
BAT-1158,27,3,2023-10-04,2023-09-04,2025-09-03,62,3,1857.0
BAT-1159,27,5,2023-09-02,2023-08-03,2025-08-02,62,3,1857.0
BAT-1160,27,3,2023-08-05,2023-07-06,2025-07-05,62,3,1857.0
BAT-1161,27,5,2023-07-02,2023-06-02,2025-06-01,62,3,1857.0
BAT-1162,28,3,2023-11-30,2023-10-31,2024-10-30,41,2,780.75
BAT-1163,28,2,2023-11-02,2023-10-03,2024-10-02,41,2,780.75
BAT-1164,28,4,2023-10-03,2023-09-03,2024-09-02,41,2,780.75
BAT-1165,28,1,2023-09-02,2023-08-03,2024-08-02,41,2,780.75
BAT-1166,28,3,2023-08-01,2023-07-02,2024-07-01,41,2,780.75
BAT-1167,28,2,2023-07-04,2023-06-04,2024-06-03,41,2,780.75
BAT-1168,29,4,2023-12-03,2023-11-03,2026-11-02,40,2,1108.5
BAT-1169,29,2,2023-11-01,2023-10-02,2026-10-01,40,2,1108.5
BAT-1170,29,3,2023-09-30,2023-08-31,2026-08-30,40,2,1108.5
BAT-1171,29,5,2023-09-04,2023-08-05,2026-08-04,40,2,1108.5
BAT-1172,29,2,2023-08-03,2023-07-04,2026-07-03,40,2,1108.5
BAT-1173,29,2,2023-07-04,2023-06-04,2026-06-03,40,2,1108.5
BAT-1174,30,1,2023-12-01,2023-11-01,2025-04-29,45,2,616.5
BAT-1175,30,1,2023-11-01,2023-10-02,2025-03-30,45,2,616.5
BAT-1176,30,4,2023-10-04,2023-09-04,2025-03-02,45,2,616.5
BAT-1177,30,5,2023-09-03,2023-08-04,2025-01-30,45,2,616.5
BAT-1178,30,4,2023-08-03,2023-07-04,2024-12-30,45,2,616.5
BAT-1179,30,3,2023-07-02,2023-06-02,2024-11-28,45,2,616.5
BAT-1180,31,4,2023-12-01,2023-11-01,2024-10-31,17,0,144.0
BAT-1181,31,4,2023-11-03,2023-10-04,2024-10-03,17,0,144.0
BAT-1182,31,5,2023-10-04,2023-09-04,2024-09-03,17,0,144.0
BAT-1183,31,4,2023-09-01,2023-08-02,2024-08-01,17,0,144.0
BAT-1184,31,2,2023-08-03,2023-07-04,2024-07-03,17,0,144.0
BAT-1185,31,4,2023-07-06,2023-06-06,2024-06-05,17,0,144.0
BAT-1186,32,2,2023-12-01,2023-11-01,2026-10-31,60,3,1346.25
BAT-1187,32,2,2023-11-03,2023-10-04,2026-10-03,60,3,1346.25
BAT-1188,32,4,2023-10-03,2023-09-03,2026-09-02,60,3,1346.25
BAT-1189,32,2,2023-08-31,2023-08-01,2026-07-31,60,3,1346.25
BAT-1190,32,4,2023-08-02,2023-07-03,2026-07-02,60,3,1346.25
BAT-1191,32,2,2023-07-06,2023-06-06,2026-06-05,60,3,1346.25
BAT-1192,33,3,2023-12-02,2023-11-02,2025-11-01,80,4,3008.25
BAT-1193,33,4,2023-11-01,2023-10-02,2025-10-01,80,4,3008.25
BAT-1194,33,1,2023-10-01,2023-09-01,2025-08-31,80,4,3008.25
BAT-1195,33,3,2023-08-31,2023-08-01,2025-07-31,80,4,3008.25
BAT-1196,33,4,2023-08-01,2023-07-02,2025-07-01,80,4,3008.25
BAT-1197,33,3,2023-07-02,2023-06-02,2025-06-01,80,4,3008.25
BAT-1198,34,4,2023-11-29,2023-10-30,2024-10-29,47,2,1053.0
BAT-1199,34,1,2023-10-31,2023-10-01,2024-09-30,47,2,1053.0
BAT-1200,34,5,2023-09-30,2023-08-31,2024-08-30,47,2,1053.0
BAT-1201,34,2,2023-09-01,2023-08-02,2024-08-01,47,2,1053.0
BAT-1202,34,1,2023-08-05,2023-07-06,2024-07-05,47,2,1053.0
BAT-1203,34,3,2023-07-05,2023-06-05,2024-06-04,47,2,1053.0
BAT-1204,35,2,2023-11-30,2023-10-31,2024-10-30,54,2,897.75
BAT-1205,35,3,2023-11-02,2023-10-03,2024-10-02,54,2,897.75
BAT-1206,35,5,2023-10-04,2023-09-04,2024-09-03,54,2,897.75
BAT-1207,35,2,2023-09-02,2023-08-03,2024-08-02,54,2,897.75
BAT-1208,35,1,2023-08-01,2023-07-02,2024-07-01,54,2,897.75
BAT-1209,35,1,2023-07-02,2023-06-02,2024-06-01,54,2,897.75
BAT-1210,36,1,2023-12-02,2023-11-02,2024-11-01,53,2,812.25
BAT-1211,36,5,2023-10-30,2023-09-30,2024-09-29,53,2,812.25
BAT-1212,36,3,2023-09-30,2023-08-31,2024-08-30,53,2,812.25
BAT-1213,36,3,2023-09-04,2023-08-05,2024-08-04,53,2,812.25
BAT-1214,36,1,2023-08-01,2023-07-02,2024-07-01,53,2,812.25
BAT-1215,36,2,2023-07-05,2023-06-05,2024-06-04,53,2,812.25
BAT-1216,37,1,2023-12-03,2023-11-03,2025-11-02,53,2,612.75
BAT-1217,37,1,2023-11-01,2023-10-02,2025-10-01,53,2,612.75
BAT-1218,37,5,2023-10-04,2023-09-04,2025-09-03,53,2,612.75
BAT-1219,37,3,2023-09-01,2023-08-02,2025-08-01,53,2,612.75
BAT-1220,37,3,2023-08-03,2023-07-04,2025-07-03,53,2,612.75
BAT-1221,37,3,2023-07-03,2023-06-03,2025-06-02,53,2,612.75
BAT-1222,38,5,2023-12-03,2023-11-03,2024-05-01,13,0,135.0
BAT-1223,38,1,2023-10-30,2023-09-30,2024-03-28,13,0,135.0
BAT-1224,38,2,2023-09-30,2023-08-31,2024-02-27,13,0,135.0
BAT-1225,38,2,2023-09-03,2023-08-04,2024-01-31,13,0,135.0
BAT-1226,38,4,2023-08-05,2023-07-06,2024-01-02,13,0,135.0
BAT-1227,38,5,2023-07-06,2023-06-06,2023-12-03,13,0,135.0
BAT-1228,39,5,2023-12-01,2023-11-01,2026-10-31,23,1,154.5
BAT-1229,39,5,2023-10-31,2023-10-01,2026-09-30,23,1,154.5
BAT-1230,39,3,2023-10-04,2023-09-04,2026-09-03,23,1,154.5
BAT-1231,39,4,2023-09-03,2023-08-04,2026-08-03,23,1,154.5
BAT-1232,39,4,2023-08-03,2023-07-04,2026-07-03,23,1,154.5
BAT-1233,39,4,2023-07-06,2023-06-06,2026-06-05,23,1,154.5
BAT-1234,40,4,2023-12-01,2023-11-01,2024-10-31,23,1,411.0
BAT-1235,40,2,2023-10-30,2023-09-30,2024-09-29,23,1,411.0
BAT-1236,40,4,2023-10-04,2023-09-04,2024-09-03,23,1,411.0
BAT-1237,40,5,2023-09-04,2023-08-05,2024-08-04,23,1,411.0
BAT-1238,40,3,2023-08-03,2023-07-04,2024-07-03,23,1,411.0
BAT-1239,40,4,2023-07-02,2023-06-02,2024-06-01,23,1,411.0
BAT-1240,41,2,2023-11-30,2023-10-31,2026-10-30,33,1,613.5
BAT-1241,41,1,2023-10-30,2023-09-30,2026-09-29,33,1,613.5
BAT-1242,41,2,2023-10-01,2023-09-01,2026-08-31,33,1,613.5
BAT-1243,41,1,2023-09-04,2023-08-05,2026-08-04,33,1,613.5
BAT-1244,41,5,2023-08-05,2023-07-06,2026-07-05,33,1,613.5
BAT-1245,41,2,2023-07-02,2023-06-02,2026-06-01,33,1,613.5
BAT-1246,42,3,2023-12-01,2023-11-01,2026-10-31,49,2,1044.75
BAT-1247,42,3,2023-10-31,2023-10-01,2026-09-30,49,2,1044.75
BAT-1248,42,1,2023-10-02,2023-09-02,2026-09-01,49,2,1044.75
BAT-1249,42,2,2023-08-31,2023-08-01,2026-07-31,49,2,1044.75
BAT-1250,42,4,2023-08-01,2023-07-02,2026-07-01,49,2,1044.75
BAT-1251,42,4,2023-07-04,2023-06-04,2026-06-03,49,2,1044.75
BAT-1252,43,3,2023-12-02,2023-11-02,2024-11-01,38,1,1054.5
BAT-1253,43,2,2023-11-02,2023-10-03,2024-10-02,38,1,1054.5
BAT-1254,43,3,2023-09-30,2023-08-31,2024-08-30,38,1,1054.5
BAT-1255,43,1,2023-08-31,2023-08-01,2024-07-31,38,1,1054.5
BAT-1256,43,3,2023-08-01,2023-07-02,2024-07-01,38,1,1054.5
BAT-1257,43,3,2023-07-03,2023-06-03,2024-06-02,38,1,1054.5
BAT-1258,44,3,2023-12-03,2023-11-03,2025-11-02,21,1,225.75
BAT-1259,44,4,2023-11-01,2023-10-02,2025-10-01,21,1,225.75
BAT-1260,44,4,2023-10-02,2023-09-02,2025-09-01,21,1,225.75
BAT-1261,44,3,2023-08-31,2023-08-01,2025-07-31,21,1,225.75
BAT-1262,44,1,2023-08-01,2023-07-02,2025-07-01,21,1,225.75
BAT-1263,44,1,2023-07-02,2023-06-02,2025-06-01,21,1,225.75
BAT-1264,45,2,2023-12-02,2023-11-02,2025-11-01,51,2,579.0
BAT-1265,45,5,2023-10-31,2023-10-01,2025-09-30,51,2,579.0
BAT-1266,45,2,2023-10-03,2023-09-03,2025-09-02,51,2,579.0
BAT-1267,45,2,2023-09-04,2023-08-05,2025-08-04,51,2,579.0
BAT-1268,45,3,2023-08-04,2023-07-05,2025-07-04,51,2,579.0
BAT-1269,45,3,2023-07-06,2023-06-06,2025-06-05,51,2,579.0
BAT-1270,46,3,2023-12-03,2023-11-03,2024-11-02,53,2,870.75
BAT-1271,46,5,2023-11-02,2023-10-03,2024-10-02,53,2,870.75
BAT-1272,46,2,2023-09-30,2023-08-31,2024-08-30,53,2,870.75
BAT-1273,46,2,2023-09-02,2023-08-03,2024-08-02,53,2,870.75
BAT-1274,46,1,2023-08-03,2023-07-04,2024-07-03,53,2,870.75
BAT-1275,46,1,2023-07-05,2023-06-05,2024-06-04,53,2,870.75
BAT-1276,47,1,2023-11-29,2023-10-30,2025-10-29,23,1,327.0
BAT-1277,47,1,2023-11-02,2023-10-03,2025-10-02,23,1,327.0
BAT-1278,47,2,2023-10-02,2023-09-02,2025-09-01,23,1,327.0
BAT-1279,47,5,2023-09-04,2023-08-05,2025-08-04,23,1,327.0
BAT-1280,47,2,2023-08-04,2023-07-05,2025-07-04,23,1,327.0
BAT-1281,47,1,2023-07-05,2023-06-05,2025-06-04,23,1,327.0
BAT-1282,48,1,2023-12-01,2023-11-01,2024-10-31,68,3,1712.25
BAT-1283,48,1,2023-11-01,2023-10-02,2024-10-01,68,3,1712.25
BAT-1284,48,2,2023-09-30,2023-08-31,2024-08-30,68,3,1712.25
BAT-1285,48,1,2023-09-02,2023-08-03,2024-08-02,68,3,1712.25
BAT-1286,48,5,2023-08-04,2023-07-05,2024-07-04,68,3,1712.25
BAT-1287,48,2,2023-07-04,2023-06-04,2024-06-03,68,3,1712.25
BAT-1288,49,3,2023-11-30,2023-10-31,2025-10-30,41,2,417.0
BAT-1289,49,4,2023-11-02,2023-10-03,2025-10-02,41,2,417.0
BAT-1290,49,3,2023-09-30,2023-08-31,2025-08-30,41,2,417.0
BAT-1291,49,5,2023-09-03,2023-08-04,2025-08-03,41,2,417.0
BAT-1292,49,3,2023-08-03,2023-07-04,2025-07-03,41,2,417.0
BAT-1293,49,1,2023-07-06,2023-06-06,2025-06-05,41,2,417.0
BAT-1294,50,2,2023-12-01,2023-11-01,2026-10-31,28,1,225.75
BAT-1295,50,2,2023-11-03,2023-10-04,2026-10-03,28,1,225.75
BAT-1296,50,3,2023-10-01,2023-09-01,2026-08-31,28,1,225.75
BAT-1297,50,2,2023-09-01,2023-08-02,2026-08-01,28,1,225.75
BAT-1298,50,5,2023-08-03,2023-07-04,2026-07-03,28,1,225.75
BAT-1299,50,2,2023-07-02,2023-06-02,2026-06-01,28,1,225.75
BAT-1300,51,4,2023-12-03,2023-11-03,2024-05-01,21,1,98.25
BAT-1301,51,4,2023-10-31,2023-10-01,2024-03-29,21,1,98.25
BAT-1302,51,1,2023-10-01,2023-09-01,2024-02-28,21,1,98.25
BAT-1303,51,2,2023-09-03,2023-08-04,2024-01-31,21,1,98.25
BAT-1304,51,5,2023-08-01,2023-07-02,2023-12-29,21,1,98.25
BAT-1305,51,1,2023-07-04,2023-06-04,2023-12-01,21,1,98.25
BAT-1306,52,5,2023-12-03,2023-11-03,2026-11-02,68,3,1761.75
BAT-1307,52,4,2023-10-31,2023-10-01,2026-09-30,68,3,1761.75
BAT-1308,52,1,2023-10-01,2023-09-01,2026-08-31,68,3,1761.75
BAT-1309,52,2,2023-09-02,2023-08-03,2026-08-02,68,3,1761.75
BAT-1310,52,2,2023-08-02,2023-07-03,2026-07-02,68,3,1761.75
BAT-1311,52,3,2023-07-06,2023-06-06,2026-06-05,68,3,1761.75
BAT-1312,53,1,2023-11-29,2023-10-30,2025-10-29,30,1,487.5
BAT-1313,53,4,2023-10-31,2023-10-01,2025-09-30,30,1,487.5
BAT-1314,53,2,2023-10-04,2023-09-04,2025-09-03,30,1,487.5
BAT-1315,53,2,2023-08-31,2023-08-01,2025-07-31,30,1,487.5
BAT-1316,53,3,2023-08-02,2023-07-03,2025-07-02,30,1,487.5
BAT-1317,53,2,2023-07-05,2023-06-05,2025-06-04,30,1,487.5
BAT-1318,54,2,2023-12-01,2023-11-01,2025-10-31,36,1,424.5
BAT-1319,54,5,2023-11-01,2023-10-02,2025-10-01,36,1,424.5
BAT-1320,54,3,2023-09-30,2023-08-31,2025-08-30,36,1,424.5
BAT-1321,54,1,2023-08-31,2023-08-01,2025-07-31,36,1,424.5
BAT-1322,54,1,2023-08-01,2023-07-02,2025-07-01,36,1,424.5
BAT-1323,54,3,2023-07-05,2023-06-05,2025-06-04,36,1,424.5
BAT-1324,55,3,2023-12-03,2023-11-03,2025-11-02,60,3,876.75
BAT-1325,55,1,2023-11-02,2023-10-03,2025-10-02,60,3,876.75
BAT-1326,55,4,2023-10-04,2023-09-04,2025-09-03,60,3,876.75
BAT-1327,55,3,2023-08-31,2023-08-01,2025-07-31,60,3,876.75
BAT-1328,55,5,2023-08-05,2023-07-06,2025-07-05,60,3,876.75
BAT-1329,55,5,2023-07-05,2023-06-05,2025-06-04,60,3,876.75
BAT-1330,56,4,2023-11-30,2023-10-31,2025-04-28,30,1,689.25
BAT-1331,56,3,2023-11-01,2023-10-02,2025-03-30,30,1,689.25
BAT-1332,56,2,2023-10-03,2023-09-03,2025-03-01,30,1,689.25
BAT-1333,56,2,2023-08-31,2023-08-01,2025-01-27,30,1,689.25
BAT-1334,56,3,2023-08-04,2023-07-05,2024-12-31,30,1,689.25
BAT-1335,56,4,2023-07-06,2023-06-06,2024-12-02,30,1,689.25
BAT-1336,57,4,2023-12-02,2023-11-02,2024-11-01,10,0,162.0
BAT-1337,57,3,2023-11-03,2023-10-04,2024-10-03,10,0,162.0
BAT-1338,57,4,2023-10-02,2023-09-02,2024-09-01,10,0,162.0
BAT-1339,57,2,2023-08-31,2023-08-01,2024-07-31,10,0,162.0
BAT-1340,57,5,2023-08-05,2023-07-06,2024-07-05,10,0,162.0
BAT-1341,57,5,2023-07-06,2023-06-06,2024-06-05,10,0,162.0
BAT-1342,58,3,2023-11-30,2023-10-31,2025-04-28,41,2,817.5
BAT-1343,58,4,2023-10-31,2023-10-01,2025-03-29,41,2,817.5
BAT-1344,58,1,2023-10-03,2023-09-03,2025-03-01,41,2,817.5
