date,product_sk_id,impression_count,page_view_count,add_to_cart_count,cart_abandonment_count,conversion_rate
2020-09-30,4,7446,503,18,12.0,1.19
2020-10-31,4,5829,548,18,11.0,1.28
2020-11-30,4,3815,362,19,14.0,1.38
2020-12-31,4,6102,469,28,19.0,1.92
2021-01-31,4,3912,352,7,5.0,0.57
2021-02-28,4,9737,807,25,16.0,1.12
2021-03-31,4,7587,711,23,14.0,1.27
2021-04-30,4,6420,507,20,15.0,0.99
2021-05-31,4,7258,654,20,12.0,1.22
2021-06-30,4,10277,935,25,15.0,1.07
2021-07-31,4,8004,578,20,14.0,1.04
2021-08-31,4,11342,865,28,19.0,1.04
2021-09-30,4,9298,711,26,17.0,1.27
2021-10-31,4,4763,370,26,23.0,0.81
2021-11-30,4,6675,512,26,15.0,2.15
2021-12-31,4,5782,536,23,15.0,1.49
2022-01-31,4,5510,457,11,7.0,0.88
2022-02-28,4,3965,384,11,9.0,0.52
2022-03-31,4,6540,491,14,9.0,1.02
2022-04-30,4,4680,373,16,13.0,0.8
2022-05-31,4,4879,416,9,6.0,0.72
2022-06-30,4,6907,550,26,19.0,1.27
2022-07-31,4,5990,484,15,11.0,0.83
2022-08-31,4,27164,542,16,12.0,0.74
2022-09-30,4,9871,687,27,17.0,1.46
2022-10-31,4,3251,276,6,5.0,0.36
2022-11-30,4,4882,373,18,13.0,1.34
2022-12-31,4,22520,505,19,13.0,1.19
2023-01-31,4,6655,603,22,15.0,1.16
2023-02-28,4,11858,826,33,23.0,1.21
2023-03-31,4,4929,361,7,5.0,0.55
2023-04-30,4,6177,442,25,20.0,1.13
2023-05-31,4,6506,492,25,18.0,1.42
2023-06-30,4,8050,573,18,11.0,1.22
2023-07-31,4,5944,500,18,13.0,1.0
2023-08-31,4,10997,776,25,16.0,1.16
2023-09-30,4,6752,677,24,16.0,1.18
2023-10-31,4,6481,540,27,18.0,1.67
2023-11-30,4,6400,533,23,13.0,1.88
2023-12-31,4,5313,436,18,12.0,1.38
2020-01-31,5,2010,296,16,10.0,2.03
2020-02-29,5,2302,287,11,7.0,1.39
2020-03-31,5,2168,251,13,9.0,1.59
2020-04-30,5,2361,346,21,14.0,2.02
2020-05-31,5,2678,357,23,13.0,2.8
2020-06-30,5,2308,309,15,8.0,2.27
2020-07-31,5,3308,353,19,11.0,2.27
2020-08-31,5,3651,397,15,8.0,1.76
2020-09-30,5,2781,371,22,15.0,1.89
2020-10-31,5,2658,404,26,16.0,2.48
2020-11-30,5,1611,213,14,9.0,2.35
2020-12-31,5,1927,229,18,11.0,3.06
2021-01-31,5,3807,526,20,10.0,1.9
2021-02-28,5,3602,441,17,9.0,1.81
2021-03-31,5,2240,287,14,10.0,1.39
2021-04-30,5,2707,382,22,13.0,2.36
2021-05-31,5,2160,342,18,11.0,2.05
2021-06-30,5,2955,374,21,12.0,2.41
2021-07-31,5,2880,378,19,12.0,1.85
2021-08-31,5,3129,349,18,10.0,2.29
2021-09-30,5,12442,561,26,16.0,1.78
2021-10-31,5,2045,291,16,9.0,2.41
2021-11-30,5,2089,257,15,10.0,1.95
2021-12-31,5,2243,244,21,13.0,3.28
2022-01-31,5,2346,327,16,9.0,2.14
2022-02-28,5,2636,409,24,18.0,1.47
2022-03-31,5,2735,355,14,8.0,1.69
2022-04-30,5,1110,136,4,3.0,0.74
2022-05-31,5,1861,253,22,18.0,1.58
2022-06-30,5,1300,146,3,3.0,0.0
2022-07-31,5,2709,301,9,5.0,1.33
2022-08-31,5,1760,253,19,15.0,1.58
2022-09-30,5,2032,302,15,10.0,1.66
2022-10-31,5,2173,276,21,16.0,1.81
2022-11-30,5,1661,247,22,14.0,3.24
2022-12-31,5,1571,202,27,23.0,1.98
2023-01-31,5,3072,420,18,10.0,1.9
2023-02-28,5,4198,600,22,12.0,1.67
2023-03-31,5,1856,255,11,7.0,1.57
2023-04-30,5,3009,388,20,12.0,2.06
2023-05-31,5,2804,281,24,17.0,2.49
2023-06-30,5,2351,330,13,7.0,1.82
2023-07-31,5,2419,341,15,9.0,1.76
2023-08-31,5,2028,260,11,6.0,1.92
2023-09-30,5,2963,345,18,10.0,2.32
2023-10-31,5,3312,431,30,18.0,2.78
2023-11-30,5,1552,208,17,12.0,2.4
2023-12-31,5,1784,206,11,7.0,1.94
2020-01-31,6,80561,1526,31,21.0,0.66
2020-02-29,6,4509,454,19,16.0,0.66
2020-03-31,6,9620,727,29,19.0,1.38
2020-04-30,6,11708,916,34,22.0,1.31
2020-05-31,6,39038,809,27,20.0,0.87
2020-06-30,6,8750,554,18,13.0,0.9
2020-07-31,6,7546,721,28,20.0,1.11
2020-08-31,6,9690,638,25,18.0,1.1
2020-09-30,6,9705,709,27,18.0,1.27
2020-10-31,6,9954,839,42,27.0,1.79
2020-11-30,6,5856,513,29,21.0,1.56
2020-12-31,6,5860,445,25,18.0,1.57
2021-01-31,6,8483,701,20,13.0,1.0
2021-02-28,6,9750,770,21,14.0,0.91
2021-03-31,6,13815,1035,50,33.0,1.64
2021-04-30,6,7204,639,24,16.0,1.25
2021-05-31,6,10037,915,36,23.0,1.42
2021-06-30,6,16670,1147,49,32.0,1.48
2021-07-31,6,14514,948,37,24.0,1.37
2021-08-31,6,9350,742,20,13.0,0.94
2021-09-30,6,12457,1003,31,18.0,1.3
2021-10-31,6,10626,930,53,35.0,1.94
2021-11-30,6,7387,567,24,15.0,1.59
2021-12-31,6,9505,719,36,22.0,1.95
2022-01-31,6,6788,497,15,11.0,0.8
2022-02-28,6,8344,610,21,16.0,0.82
2022-03-31,6,11040,764,23,15.0,1.05
2022-04-30,6,11206,808,33,22.0,1.36
2022-05-31,6,6391,453,17,13.0,0.88
2022-06-30,6,5034,424,8,5.0,0.71
2022-07-31,6,7834,628,22,16.0,0.96
2022-08-31,6,8804,724,16,11.0,0.69
2022-09-30,6,6420,476,16,10.0,1.26
2022-10-31,6,8738,677,28,20.0,1.18
2022-11-30,6,5240,423,13,9.0,0.95
2022-12-31,6,4982,421,23,16.0,1.66
2023-01-31,6,11161,927,23,14.0,0.97
2023-02-28,6,14340,1003,34,22.0,1.2
2023-03-31,6,10174,990,43,30.0,1.31
2023-04-30,6,7754,652,25,17.0,1.23
2023-05-31,6,9644,663,22,15.0,1.06
2023-06-30,6,9872,854,30,18.0,1.41
2023-07-31,6,14098,1115,39,24.0,1.35
2023-08-31,6,12082,909,30,20.0,1.1
2023-09-30,6,9775,673,28,19.0,1.34
2023-10-31,6,7185,740,36,23.0,1.76
2023-11-30,6,5728,550,36,25.0,2.0
2023-12-31,6,10227,866,49,31.0,2.08
2020-01-31,7,3843,353,12,10.0,0.57
2020-02-29,7,7683,680,13,8.0,0.74
2020-03-31,7,8080,630,19,12.0,1.11
2020-04-30,7,6248,497,16,11.0,1.01
2020-05-31,7,4745,390,21,17.0,1.03
2020-06-30,7,10515,742,30,19.0,1.48
2020-07-31,7,9275,837,29,19.0,1.19
2020-08-31,7,5571,544,14,9.0,0.92
2020-09-30,7,7846,566,16,11.0,0.88
2020-10-31,7,9940,778,30,19.0,1.41
2020-11-30,7,6754,543,27,17.0,1.84
2020-12-31,7,4966,467,28,18.0,2.14
2021-01-31,7,9431,848,28,21.0,0.83
2021-02-28,7,7252,742,30,23.0,0.94
2021-03-31,7,4457,401,26,20.0,1.5
2021-04-30,7,7493,653,28,18.0,1.53
2021-05-31,7,5011,427,17,12.0,1.17
2021-06-30,7,8852,719,35,23.0,1.67
2021-07-31,7,8318,650,20,14.0,0.92
2021-08-31,7,8990,731,28,19.0,1.23
2021-09-30,7,5965,575,24,17.0,1.22
2021-10-31,7,5499,492,20,13.0,1.42
2021-11-30,7,5308,468,21,13.0,1.71
2021-12-31,7,6631,571,30,18.0,2.1
2022-01-31,7,5460,516,11,7.0,0.78
2022-02-28,7,11567,830,22,14.0,0.96
2022-03-31,7,7126,503,14,9.0,0.99
2022-04-30,7,36120,750,25,17.0,1.07
2022-05-31,7,8426,727,29,20.0,1.24
2022-06-30,7,5666,447,19,15.0,0.89
2022-07-31,7,7429,705,22,14.0,1.13
2022-08-31,7,4809,460,17,13.0,0.87
2022-09-30,7,5308,388,7,5.0,0.52
2022-10-31,7,17337,382,9,7.0,0.52
2022-11-30,7,3748,358,13,9.0,1.12
2022-12-31,7,3627,293,13,9.0,1.37
2023-01-31,7,7223,540,15,10.0,0.93
2023-02-28,7,9076,865,26,16.0,1.16
2023-03-31,7,10055,897,37,23.0,1.56
2023-04-30,7,4825,408,13,9.0,0.98
2023-05-31,7,39245,862,33,22.0,1.28
2023-06-30,7,5772,515,20,15.0,0.97
2023-07-31,7,5097,502,13,8.0,1.0
2023-08-31,7,10142,772,24,16.0,1.04
2023-09-30,7,4672,477,18,12.0,1.26
2023-10-31,7,4931,472,15,10.0,1.06
2023-11-30,7,5784,434,22,16.0,1.38
2023-12-31,7,48716,744,25,17.0,1.08
2020-01-31,8,5707,423,17,14.0,0.71
2020-02-29,8,6851,559,14,9.0,0.89
2020-03-31,8,4081,380,12,8.0,1.05
2020-04-30,8,4507,414,14,10.0,0.97
2020-05-31,8,2656,243,7,6.0,0.41
2020-06-30,8,5981,517,12,8.0,0.77
2020-07-31,8,37651,637,9,6.0,0.47
2020-08-31,8,13135,1159,33,22.0,0.95
2020-09-30,8,4044,348,6,4.0,0.57
2020-10-31,8,4941,422,16,11.0,1.18
2020-11-30,8,4790,426,19,13.0,1.41
2020-12-31,8,2581,261,13,11.0,0.77
2021-01-31,8,11265,835,35,26.0,1.08
2021-02-28,8,5925,460,17,14.0,0.65
2021-03-31,8,5424,403,11,8.0,0.74
2021-04-30,8,3741,312,5,4.0,0.32
2021-05-31,8,5129,470,18,12.0,1.28
2021-06-30,8,6599,658,38,28.0,1.52
2021-07-31,8,4356,385,10,7.0,0.78
2021-08-31,8,6504,531,15,11.0,0.75
2021-09-30,8,7142,532,14,9.0,0.94
2021-10-31,8,4985,421,18,15.0,0.71
2021-11-30,8,7211,596,23,15.0,1.34
2021-12-31,8,4279,343,12,8.0,1.17
2022-01-31,8,4957,436,15,12.0,0.69
2022-02-28,8,6280,577,16,10.0,1.04
2022-03-31,8,18648,504,10,7.0,0.6
2022-04-30,8,6116,474,17,13.0,0.84
2022-05-31,8,4534,376,12,8.0,1.06
2022-06-30,8,4753,361,6,4.0,0.55
2022-07-31,8,4742,391,9,6.0,0.77
2022-08-31,8,4640,354,7,5.0,0.56
2022-09-30,8,4212,367,11,9.0,0.54
2022-10-31,8,7516,616,27,20.0,1.14
2022-11-30,8,3581,275,10,8.0,0.73
2022-12-31,8,3473,311,13,10.0,0.96
2023-01-31,8,5479,446,14,10.0,0.9
2023-02-28,8,4961,459,14,9.0,1.09
2023-03-31,8,2673,253,10,9.0,0.4
2023-04-30,8,4956,421,7,5.0,0.48
2023-05-31,8,5214,412,12,7.0,1.21
2023-06-30,8,3570,294,11,9.0,0.68
2023-07-31,8,5269,458,10,7.0,0.66
2023-08-31,8,7565,550,18,13.0,0.91
2023-09-30,8,6245,562,19,13.0,1.07
2023-10-31,8,4266,370,12,8.0,1.08
2023-11-30,8,6303,449,24,18.0,1.34
2023-12-31,8,4265,350,17,12.0,1.43
2020-01-31,9,9093,831,23,15.0,0.96
2020-02-29,9,7929,667,18,11.0,1.05
2020-03-31,9,28321,500,10,7.0,0.6
2020-04-30,9,5346,441,11,7.0,0.91
2020-05-31,9,7633,697,28,17.0,1.58
2020-06-30,9,4813,415,18,13.0,1.2
2020-07-31,9,10208,774,27,17.0,1.29
2020-08-31,9,10209,917,32,21.0,1.2
2020-09-30,9,9991,859,34,22.0,1.4
2020-10-31,9,7741,743,37,25.0,1.62
2020-11-30,9,7471,666,28,17.0,1.65
2020-12-31,9,5074,468,26,17.0,1.92
2021-01-31,9,7530,701,22,13.0,1.28
2021-02-28,9,15430,1160,50,33.0,1.47
2021-03-31,9,8291,641,19,11.0,1.25
2021-04-30,9,9514,724,29,18.0,1.52
2021-05-31,9,7104,651,33,21.0,1.84
2021-06-30,9,8072,668,28,18.0,1.5
2021-07-31,9,8831,677,21,14.0,1.03
2021-08-31,9,9552,928,32,19.0,1.4
2021-09-30,9,5743,489,16,11.0,1.02
2021-10-31,9,4924,494,22,16.0,1.21
2021-11-30,9,2969,269,11,7.0,1.49
2021-12-31,9,10585,821,46,27.0,2.31
2022-01-31,9,6978,628,20,15.0,0.8
2022-02-28,9,5292,504,14,9.0,0.99
2022-03-31,9,5464,489,19,14.0,1.02
2022-04-30,9,6106,607,25,16.0,1.48
2022-05-31,9,35215,841,31,21.0,1.19
2022-06-30,9,5326,485,20,15.0,1.03
2022-07-31,9,5529,449,13,10.0,0.67
2022-08-31,9,3752,315,9,7.0,0.63
2022-09-30,9,2890,250,4,3.0,0.4
2022-10-31,9,7050,528,29,20.0,1.7
2022-11-30,9,5530,430,22,15.0,1.63
2022-12-31,9,6472,507,28,19.0,1.78
2023-01-31,9,11563,847,32,21.0,1.3
2023-02-28,9,5798,529,28,20.0,1.51
2023-03-31,9,9226,859,29,18.0,1.28
2023-04-30,9,8995,697,26,16.0,1.43
2023-05-31,9,5862,572,19,12.0,1.22
2023-06-30,9,5273,471,18,13.0,1.06
2023-07-31,9,6963,644,21,12.0,1.4
2023-08-31,9,7510,718,19,12.0,0.97
2023-09-30,9,4580,440,16,10.0,1.36
2023-10-31,9,7797,769,34,23.0,1.43
2023-11-30,9,4936,445,21,13.0,1.8
2023-12-31,9,5221,427,20,12.0,1.87
2020-01-31,10,7468,680,16,10.0,0.88
2020-02-29,10,11077,898,32,21.0,1.22
2020-03-31,10,5494,448,11,7.0,0.89
2020-04-30,10,8511,812,36,23.0,1.6
2020-05-31,10,8628,844,41,25.0,1.9
2020-06-30,10,9903,896,37,25.0,1.34
2020-07-31,10,6917,674,25,15.0,1.48
2020-08-31,10,7417,699,25,16.0,1.29
2020-09-30,10,7874,675,34,25.0,1.33
2020-10-31,10,8291,763,40,29.0,1.44
2020-11-30,10,5548,479,20,12.0,1.67
2020-12-31,10,4471,407,21,14.0,1.72
2021-01-31,10,10362,1093,49,33.0,1.46
2021-02-28,10,8408,719,24,16.0,1.11
2021-03-31,10,15524,1327,45,27.0,1.36
2021-04-30,10,9486,880,37,24.0,1.48
2021-05-31,10,12122,910,44,30.0,1.54
2021-06-30,10,11139,979,45,29.0,1.63
2021-07-31,10,10258,837,29,19.0,1.19
2021-08-31,10,8667,657,26,17.0,1.37
2021-09-30,10,10340,845,25,16.0,1.07
2021-10-31,10,9796,796,43,29.0,1.76
2021-11-30,10,7430,627,32,21.0,1.75
2021-12-31,10,8455,655,32,20.0,1.83
2022-01-31,10,8083,617,15,9.0,0.97
2022-02-28,10,9217,849,29,19.0,1.18
2022-03-31,10,8525,625,20,12.0,1.28
2022-04-30,10,3958,391,14,10.0,1.02
2022-05-31,10,5185,495,20,13.0,1.41
2022-06-30,10,7172,540,22,15.0,1.3
2022-07-31,10,10049,942,27,16.0,1.17
2022-08-31,10,9548,814,25,16.0,1.11
2022-09-30,10,11023,837,22,15.0,0.84
2022-10-31,10,4740,416,15,10.0,1.2
2022-11-30,10,3679,346,13,9.0,1.16
2022-12-31,10,2661,261,10,7.0,1.15
2023-01-31,10,11035,1127,36,26.0,0.89
2023-02-28,10,10485,925,36,25.0,1.19
2023-03-31,10,29013,688,24,18.0,0.87
2023-04-30,10,9116,870,36,22.0,1.61
2023-05-31,10,6181,645,27,17.0,1.55
2023-06-30,10,12051,1175,39,24.0,1.28
2023-07-31,10,15539,1359,39,24.0,1.1
2023-08-31,10,10676,887,30,18.0,1.35
2023-09-30,10,9013,926,37,24.0,1.4
2023-10-31,10,6184,546,40,30.0,1.83
2023-11-30,10,5653,481,22,14.0,1.66
2023-12-31,10,7871,580,41,26.0,2.59
2020-01-31,11,2328,250,3,2.0,0.4
2020-02-29,11,5681,596,16,9.0,1.17
2020-03-31,11,5327,527,21,15.0,1.14
2020-04-30,11,4879,434,19,13.0,1.38
2020-05-31,11,8379,809,48,31.0,2.1
2020-06-30,11,6591,630,30,16.0,2.22
2020-07-31,11,5453,603,25,16.0,1.49
2020-08-31,11,5081,473,26,18.0,1.69
2020-09-30,11,4647,485,35,26.0,1.86
2020-10-31,11,4077,401,15,9.0,1.5
2020-11-30,11,6047,605,35,22.0,2.15
2020-12-31,11,5148,498,48,32.0,3.21
2021-01-31,11,5455,519,26,19.0,1.35
2021-02-28,11,6727,602,22,14.0,1.33
2021-03-31,11,8842,944,47,31.0,1.69
2021-04-30,11,6010,689,31,20.0,1.6
2021-05-31,11,4610,546,23,15.0,1.47
2021-06-30,11,5732,495,20,12.0,1.62
2021-07-31,11,5171,587,19,10.0,1.53
2021-08-31,11,6277,605,27,18.0,1.49
2021-09-30,11,7864,793,32,19.0,1.64
2021-10-31,11,3896,465,25,15.0,2.15
2021-11-30,11,5135,499,25,15.0,2.0
2021-12-31,11,5793,562,44,29.0,2.67
2022-01-31,11,4390,427,13,8.0,1.17
2022-02-28,11,3632,422,16,12.0,0.95
2022-03-31,11,5616,458,21,14.0,1.53
2022-04-30,11,3820,393,10,6.0,1.02
2022-05-31,11,3016,277,11,7.0,1.44
2022-06-30,11,3929,446,22,15.0,1.57
2022-07-31,11,6468,748,29,19.0,1.34
2022-08-31,11,5366,550,16,10.0,1.09
2022-09-30,11,4212,426,16,10.0,1.41
2022-10-31,11,6769,578,26,17.0,1.56
2022-11-30,11,2824,287,14,9.0,1.74
2022-12-31,11,3472,311,14,8.0,1.93
2023-01-31,11,3702,373,16,12.0,1.07
2023-02-28,11,6076,562,18,11.0,1.25
2023-03-31,11,21763,565,26,19.0,1.24
2023-04-30,11,7201,682,36,23.0,1.91
2023-05-31,11,4893,477,17,10.0,1.47
2023-06-30,11,3600,356,10,6.0,1.12
2023-07-31,11,4124,457,16,9.0,1.53
2023-08-31,11,6620,575,25,15.0,1.74
2023-09-30,11,8818,903,43,27.0,1.77
2023-10-31,11,5277,563,25,15.0,1.78
2023-11-30,11,4076,390,24,17.0,1.79
2023-12-31,11,6793,705,37,23.0,1.99
2020-01-31,12,11631,824,23,17.0,0.73
2020-02-29,12,10643,686,10,7.0,0.44
2020-03-31,12,11652,699,12,8.0,0.57
2020-04-30,12,10591,650,15,10.0,0.77
2020-05-31,12,8097,527,14,11.0,0.57
2020-06-30,12,11819,720,16,11.0,0.69
2020-07-31,12,10729,826,16,11.0,0.61
2020-08-31,12,8563,698,15,12.0,0.43
2020-09-30,12,13493,909,22,15.0,0.77
2020-10-31,12,8405,605,17,12.0,0.83
2020-11-30,12,7134,508,18,13.0,0.98
2020-12-31,12,10635,785,28,19.0,1.15
2021-01-31,12,8277,568,14,10.0,0.7
2021-02-28,12,10337,791,19,13.0,0.76
2021-03-31,12,40461,579,11,9.0,0.35
2021-04-30,12,14496,958,31,23.0,0.84
2021-05-31,12,51521,900,25,19.0,0.67
2021-06-30,12,12719,875,23,16.0,0.8
2021-07-31,12,11630,751,22,15.0,0.93
2021-08-31,12,18163,998,23,15.0,0.8
2021-09-30,12,8345,538,17,13.0,0.74
2021-10-31,12,12744,907,34,24.0,1.1
2021-11-30,12,9061,561,19,12.0,1.25
2021-12-31,12,62368,980,53,43.0,1.02
2022-01-31,12,9363,745,20,14.0,0.81
2022-02-28,12,7195,511,10,9.0,0.2
2022-03-31,12,8086,569,14,10.0,0.7
2022-04-30,12,6620,440,11,9.0,0.45
2022-05-31,12,9357,743,17,12.0,0.67
2022-06-30,12,8543,461,14,11.0,0.65
2022-07-31,12,7079,542,7,5.0,0.37
2022-08-31,12,11865,876,26,19.0,0.8
2022-09-30,12,10117,720,17,12.0,0.69
2022-10-31,12,7654,489,17,13.0,0.82
2022-11-30,12,12017,792,30,19.0,1.39
2022-12-31,12,3863,260,14,13.0,0.38
2023-01-31,12,17534,1057,30,20.0,0.95
2023-02-28,12,10967,803,21,13.0,1.0
2023-03-31,12,10763,602,26,22.0,0.66
2023-04-30,12,7672,525,12,8.0,0.76
2023-05-31,12,4680,358,8,6.0,0.56
2023-06-30,12,7667,585,14,10.0,0.68
2023-07-31,12,13034,820,13,8.0,0.61
2023-08-31,12,14441,997,31,22.0,0.9
2023-09-30,12,7149,479,11,8.0,0.63
2023-10-31,12,10573,768,26,17.0,1.17
2023-11-30,12,9518,700,24,18.0,0.86
2023-12-31,12,6843,492,17,12.0,1.02
2020-01-31,13,1392,161,3,3.0,0.0
